时间(s),原始信号,降噪信号
0.0,-0.1269541780865379,0.000709547464078642
0.01,-0.31151421496419907,0.000709547464078642
0.02,-0.020253516415838946,0.000709547464078642
0.03,0.2176504745714305,0.000709547464078642
0.04,-0.2493085706793367,0.000709547464078642
0.05,-0.20182995081906957,0.000709547464078642
0.06,0.4531683089958587,0.000709547464078642
0.07,0.1024551204469159,0.000709547464078642
0.08,-0.39657354654177274,0.000709547464078642
0.09,0.20067228489598302,0.000709547464078642
0.1,-0.29687678418951546,0.000709547464078642
0.11,-0.20718125443108282,0.000709547464078642
0.12,0.07336128250335819,0.000709547464078642
0.13,-0.5957856489116189,0.000709547464078642
0.14,-0.44708703333677646,0.000709547464078642
0.15,-0.15341447604540082,0.000709547464078642
0.16,-0.41391268665730346,0.009624659897862237
0.17,0.28517502109909065,0.009624659897862237
0.18,-0.2762301914589581,0.009624659897862237
0.19,-0.4566332388851458,0.009624659897862237
0.2,0.5313788898345122,0.009624659897862237
0.21,-0.03361588693258226,0.009624659897862237
0.22,0.07578156750653398,0.009624659897862237
0.23,-0.17179473501912113,0.009624659897862237
0.24,-0.15777730591152184,0.009624659897862237
0.25,0.032942190584054426,0.009624659897862237
0.26,-0.2944418471093823,0.009624659897862237
0.27,0.2682951002719367,0.009624659897862237
0.28,-0.2790671533875702,0.009624659897862237
0.29,-0.22585634398523038,0.009624659897862237
0.3,-0.17270963725939467,0.009624659897862237
0.31,0.45092887612452315,0.009624659897862237
0.32,0.018922641858554634,0.02482852302262918
0.33,-0.18927774944635245,0.02482852302262918
0.34,0.2315486980237983,0.02482852302262918
0.35,-0.42977230926532034,0.02482852302262918
0.36,0.16283655908647027,0.02482852302262918
0.37,-0.40304079178803737,0.02482852302262918
0.38,-0.4692788351571938,0.02482852302262918
0.39,0.24713432368466676,0.02482852302262918
0.4,0.41368462308573567,0.02482852302262918
0.41,0.2652285712374661,0.02482852302262918
0.42,0.2103534362320589,0.02482852302262918
0.43,0.24458078543606468,0.02482852302262918
0.44,-0.3500090269777273,0.02482852302262918
0.45,-0.06585665168178646,0.02482852302262918
0.46,-0.04898927489272226,0.02482852302262918
0.47,0.4598748405323005,0.02482852302262918
0.48,0.39879945844752474,0.063606635752043
0.49,-0.5184671441718963,0.063606635752043
0.5,0.1669826103129159,0.063606635752043
0.51,0.17723034284917094,0.063606635752043
0.52,0.05524898180795561,0.063606635752043
0.53,0.3026015530062969,0.063606635752043
0.54,0.5515091689161304,0.063606635752043
0.55,0.4812678489039091,0.063606635752043
0.56,0.06065639726083484,0.063606635752043
0.57,0.07884699166020606,0.063606635752043
0.58,0.36918175413538457,0.063606635752043
0.59,0.6992967170885654,0.063606635752043
0.6,0.07901642376056989,0.063606635752043
0.61,0.1139333076584052,0.063606635752043
0.62,-0.09463569896683216,0.063606635752043
0.63,-0.23272762766759733,0.063606635752043
0.64,0.6297695827515013,0.07399370583324313
0.65,0.5805512050789711,0.09568944585497059
0.66,0.10694230372445668,0.07399370583324313
0.67,0.3795067302187223,0.09568944585497059
0.68,0.38401936966585654,0.09568944585497059
0.69,0.06064222790068127,0.07399370583324313
0.7,0.2262110466229888,0.09568944585497059
0.71,0.6829110595479406,0.07399370583324313
0.72,0.0030395419403912993,0.05219360088790814
0.73,0.6590238934496611,0.07784424806287896
0.74,-0.5619856315372709,0.05219360088790814
0.75,0.5848520511198858,0.07784424806287896
0.76,0.1259789629679453,0.07784424806287896
