时间(s),温度(°C),原始角速率,补偿后角速率,漂移
0.0,24.882971929360323,0.13737991668599034,-0.1269541780865379,0.2643340947725282
0.01,24.888906023441844,-0.052642292640015256,-0.31151421496419907,0.2588719223241838
0.02,24.937535235155284,0.1930797551842262,-0.020253516415838946,0.21333327160006516
0.03,24.90673645943307,0.45996298531672425,0.2176504745714305,0.24231251074529375
0.04,24.946457055174093,-0.044424830454050435,-0.2493085706793367,0.20488374022528627
0.05,24.98015576522984,-0.02891905564741486,-0.20182995081906957,0.1729108951716547
0.06,25.085600404180646,0.5283166820218512,0.4531683089958587,0.07514837302599253
0.07,24.970083210916044,0.2849209093476293,0.1024551204469159,0.1824657889007134
0.08,24.843950703340077,-0.09713688495280791,-0.39657354654177274,0.2994366615889648
0.09,25.116834217887057,0.24831909681100892,0.20067228489598302,0.0476468119150259
0.1,24.919432579085377,-0.06646463668277068,-0.29687678418951546,0.23041214750674477
0.11,24.997583708933355,-0.05076481095664369,-0.20718125443108282,0.15641644347443912
0.12,25.048423561521187,0.18227817648961783,0.07336128250335819,0.10891689398625964
0.13,25.024045111835807,-0.464240503948394,-0.5957856489116189,0.1315451449632249
0.14,25.113816183899964,-0.39682181156519075,-0.44708703333677646,0.05026522177158571
0.15,25.05261270262202,-0.048351195460518415,-0.15341447604540082,0.1050632805848824
0.16,24.918895589429354,-0.18299570506925572,-0.41391268665730346,0.23091698158804774
0.17,25.22319692389471,0.24675969662766903,0.28517502109909065,-0.038415324471421625
0.18,25.025088211904762,-0.14565962109428562,-0.2762301914589581,0.13057057036467248
0.19,24.991235001961858,-0.2942156829054543,-0.4566332388851458,0.16241755597969149
0.2,25.10267572595907,0.591383573591214,0.5313788898345122,0.06000468375670176
0.21,25.03154243725122,0.0909362187860185,-0.03361588693258226,0.12455210571860076
0.22,25.046834320930795,0.186163297552554,0.07578156750653398,0.11038173004602003
0.23,25.256444060448302,-0.23441010724027916,-0.17179473501912113,-0.06261537222115804
0.24,24.980027676685573,0.015255024654265478,-0.15777730591152184,0.17303233056578732
0.25,24.976077889002415,0.20972017153777592,0.032942190584054426,0.1767779809537215
0.26,25.01982598846747,-0.15894964919486443,-0.2944418471093823,0.1354921979145179
0.27,25.115633889654152,0.31698225793764534,0.2682951002719367,0.048687157665708636
0.28,24.85814305187335,0.0077872580334604116,-0.2790671533875702,0.28685441142103063
0.29,24.81255502450635,0.10045767123990537,-0.22585634398523038,0.32631401522513576
0.3,24.950713245317626,0.028138479354617864,-0.17270963725939467,0.20084811661401253
0.31,24.846346635162146,0.7482583141676902,0.45092887612452315,0.297329438043167
0.32,24.967569954965498,0.20377371954603357,0.018922641858554634,0.18485107768747894
0.33,25.060617217941292,-0.09154587373443174,-0.18927774944635245,0.09773187571192071
0.34,24.921606520542507,0.4599158753087664,0.2315486980237983,0.22836717728496808
0.35,24.868312907746805,-0.1520711191557511,-0.42977230926532034,0.27770119010956923
0.36,25.01824344008027,0.29981129217049096,0.16283655908647027,0.1369747330840207
0.37,25.097878230809396,-0.33880700629424526,-0.40304079178803737,0.0642337854937921
0.38,24.842440696889476,-0.16851783719277838,-0.4692788351571938,0.30076099796441547
0.39,25.094275438917858,0.31455744773487154,0.24713432368466676,0.06742312405020479
0.4,25.09429697775885,0.48108864641944254,0.41368462308573567,0.06740402333370688
0.41,25.10828902584883,0.3203114685359002,0.2652285712374661,0.055082897298434075
0.42,25.13504269531763,0.24239256668995093,0.2103534362320589,0.03203913045789203
0.43,25.23371022444163,0.1983689206687289,0.24458078543606468,-0.04621186476733577
0.44,24.97821378520564,-0.17525678795966218,-0.3500090269777273,0.1747522390180651
0.45,25.02509430611263,0.06470822633549865,-0.06585665168178646,0.1305648780172851
0.46,24.97280746276154,0.1308913657466309,-0.04898927489272226,0.17988064063935316
0.47,25.014963148486363,0.5999259309430275,0.4598748405323005,0.140051090410727
0.48,25.168366957440565,0.4031701349720519,0.39879945844752474,0.004370676524527162
0.49,24.880892331290486,-0.2522254050188138,-0.5184671441718963,0.2662417391530825
0.5,24.92960297021284,0.3878125267421341,0.1669826103129159,0.22082991642921823
0.51,25.153740188763688,0.19359748140024927,0.17723034284917094,0.016367138551078325
0.52,25.11833990342402,0.10159275201121885,0.05524898180795561,0.046343770203263246
0.53,24.98033724560819,0.475340398108973,0.3026015530062969,0.17273884510267612
0.54,25.102404767892327,0.6117521581674751,0.5515091689161304,0.060242989251344636
0.55,25.051400309452838,0.5874452661826927,0.4812678489039091,0.10617741727878355
0.56,25.1676203434589,0.06563367284248402,0.06065639726083484,0.0049772755816491765
0.57,25.025357999227193,0.20916558172660657,0.07884699166020606,0.1303185900664005
0.58,25.120784408446795,0.41341469830798294,0.36918175413538457,0.044232944172598376
0.59,25.282736545251886,0.6184842773825457,0.6992967170885654,-0.0808124397060197
0.6,25.07865942677728,0.1603907483567169,0.07901642376056989,0.08137432459614702
0.61,25.02409648484751,0.24543044255861396,0.1139333076584052,0.13149713490020876
0.62,25.091722523709965,-0.024945804597042428,-0.09463569896683216,0.06968989436978973
0.63,24.983263896210424,-0.06276268494787376,-0.23272762766759733,0.16996494271972357
0.64,25.258902909348095,0.565417365478917,0.6297695827515013,-0.06435221727258433
0.65,25.038427399250654,0.6987069607622366,0.5805512050789711,0.11815575568326553
0.66,24.99344112006332,0.2672733893348568,0.10694230372445668,0.1603310856104001
0.67,24.937479708106828,0.5928925370824724,0.3795067302187223,0.21338580686375008
0.68,25.131084784209342,0.4194227959901698,0.38401936966585654,0.03540342632431326
0.69,25.108395662687002,0.11563190598730713,0.06064222790068127,0.05498967808662586
0.7,24.97225564053277,0.4066152918272043,0.2262110466229888,0.1804042452042155
0.71,25.079950368369552,0.7631244926331083,0.6829110595479406,0.0802134330851677
0.72,24.8717637931311,0.27761139560889037,0.0030395419403912993,0.27457185366849907
0.73,25.04143060346548,0.7743977865173047,0.6590238934496611,0.11537389306764367
0.74,25.068523337081075,-0.47145138474895343,-0.5619856315372709,0.09053424678831745
0.75,25.194294838652787,0.5685514307308847,0.5848520511198858,-0.016300620389001153
0.76,24.946794133154444,0.33054318624182094,0.1259789629679453,0.20456422327387563
0.77,24.896354906183262,0.2117368332166703,-0.040242142209348186,0.2519789754260185
0.78,24.934961528511675,0.33355942439463526,0.11779191528089994,0.21576750911373532
0.79,24.891161630016637,-0.2955475230518253,-0.5523362902744411,0.2567887672226158
0.8,25.158798371169993,0.258142846606468,0.24595097617400632,0.012191870432461699
0.81,25.180310720143247,0.43697640369024177,0.44222394375013907,-0.005247540059897304
0.82,25.057782603582012,0.759001259056533,0.6586780722529502,0.10032318680358288
0.83,25.14820459540023,0.15682376572984977,0.13585546224606757,0.020968303483782202
0.84,25.039785093831387,0.05048845895493938,-0.06640902948965165,0.11689748844459102
0.85,25.01719224584075,0.13647094897050807,-0.001489137912027344,0.13796008688253542
0.86,24.993713803437497,0.5578763851274174,0.3978031132329515,0.16007327189446596
0.87,24.996292620830502,0.37881851738501,0.22118251062000377,0.15763600676500622
0.88,24.87286571885484,0.11197201009257773,-0.161598237802917,0.2735702478954947
0.89,25.05438550525482,0.4300016944500406,0.32656582455547145,0.10343586989456915
0.9,25.02424079217064,0.2995499670207324,0.1681876862881635,0.1313622807325689
