time,pos_x_km,pos_y_km,pos_z_km,sun_x_body,sun_y_body,sun_z_body,solar_irradiance_Wm2,eclipse_factor,is_umbra,is_penumbra,albedo_flux_Wm2,earth_ir_flux_Wm2,incidence_angle_deg,occlusion_factor,visible_area_ratio,effective_irradiance_Wm2,cell_temperature_K,array_current_A,array_voltage_V,array_power_W,remaining_factor,ddd_cumulative_MeVg
2024-01-01 00:00:00,2044.0500696607967,-3686.299144632377,5317.326446245915,-0.3212587583585823,0.9173982770248028,-0.2348897858354536,1407.5695568713074,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,1.0,0.0
2024-01-01 00:00:05,2077.0550815492975,-3666.813516622515,5318.034459417638,-0.32257249052219955,0.9174010709496776,-0.23307136971041809,1407.569558747391,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.999994697961998,24082.34694620525
2024-01-01 00:00:10,2109.994037056283,-3647.2112733063395,5318.572859177434,-0.3238759213380684,0.9174038754421014,-0.23124557704144433,1407.5695606234124,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999904430919276,48164.6938924105
2024-01-01 00:00:15,2142.865889291927,-3627.4930392158717,5318.941630003656,-0.3251690096038612,0.9174066903415524,-0.22941246633477186,1407.5695624993866,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999865105536623,72247.04083861575
2024-01-01 00:00:20,2175.6695935137423,-3607.6594425472945,5319.14076176682,-0.3264517144514557,0.9174095154861422,-0.22757209632814485,1407.5695643752995,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999827737304154,96329.387784821
2024-01-01 00:00:25,2208.4041071591546,-3587.711115141208,5319.17024972977,-0.32772399534784935,0.9174123507127419,-0.22572452598901066,1407.569566251164,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999791760089097,120411.73473102624
2024-01-01 00:00:30,2241.0683898781112,-3567.648692462663,5319.030094547581,-0.3289858120969383,0.9174151958568604,-0.22386981451244475,1407.5695681269663,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999756853921027,144494.0816772315
2024-01-01 00:00:35,2273.6614035659313,-3547.4728135809114,5318.72030226736,-0.33023712484032686,0.917418050752798,-0.22200802131934477,1407.5695700027131,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999722813992906,168576.42862343675
2024-01-01 00:00:40,2306.1821123959803,-3527.1841211491005,5318.240884327836,-0.33147789405878253,0.9174209152336141,-0.2201392060544234,1407.569571878406,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999689498477576,192658.775569642
2024-01-01 00:00:45,2338.629482851901,-3506.7832613841124,5317.591857558831,-0.3327080805736305,0.9174237891311039,-0.2182634285842185,1407.5695737540484,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999656803643939,216741.12251584724
2024-01-01 00:00:50,2371.0024837604074,-3486.2708840458695,5316.773244180525,-0.3339276455476877,0.917426672275908,-0.21638074899521825,1407.569575629635,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999624650504243,240823.46946205248
2024-01-01 00:00:55,2403.300086323107,-3465.6476424171315,5315.785071802593,-0.33513655048665153,0.917429564497483,-0.2144912275918684,1407.569577505157,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999592977018386,264905.81640825776
2024-01-01 00:01:00,2435.521264149679,-3444.9141932822686,5314.627373423149,-0.33633475724039563,0.9174324656241102,-0.21259492489452808,1407.5695793806256,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999561733243574,288988.163354463
2024-01-01 00:01:05,2467.664993289238,-3424.071196907012,5313.300187427536,-0.33752222800393106,0.9174353754829752,-0.21069190163761564,1407.5695812560446,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999530405260855,313070.51030066825
2024-01-01 00:01:10,2499.7302522628597,-3403.1193170173624,5311.8035575869835,-0.3386989253189345,0.9174382939000993,-0.2087822187674842,1407.5695831314072,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.999949428350202,337152.8572468735
2024-01-01 00:01:15,2531.7160220957558,-3382.0592207785185,5310.137533057036,-0.33986481207457386,0.9174412207004635,-0.20686593744055137,1407.5695850067143,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999458161873669,361235.20419307874
2024-01-01 00:01:20,2563.6212863491955,-3360.8915787738297,5308.302168375856,-0.3410198515088975,0.9174441557079658,-0.20494311902122336,1407.5695868819575,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.99994220403758,385317.551139284
2024-01-01 00:01:25,2595.4450311520895,-3339.61706498385,5306.297523462406,-0.34216400720986334,0.9174470987454783,-0.20301382507995158,1407.5695887571565,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999385919008417,409399.8980854892
2024-01-01 00:01:30,2627.18624523343,-3318.2363567646266,5304.123663614371,-0.34329724311674725,0.9174500496347994,-0.20107811739109044,1407.569590632293,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999349797771516,433482.2450316945
2024-01-01 00:01:35,2658.843919953417,-3296.750134826722,5301.7806595059965,-0.3444195235208034,0.9174530081968055,-0.1991360579310918,1407.5695925073728,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999313676665097,457564.5919778997
2024-01-01 00:01:40,2690.4170493357965,-3275.159083213289,5299.268587185716,-0.3455308130668308,0.9174559742513534,-0.1971877088762755,1407.5695943824055,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.999927755568916,481646.93892410496
2024-01-01 00:01:45,2721.904630098947,-3253.463889278817,5296.587528073661,-0.3466310767541817,0.9174589476173265,-0.19523313260085795,1407.5695962573732,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999241434843704,505729.2858703102
2024-01-01 00:01:50,2753.3056616875087,-3231.6652436673326,5293.737568958956,-0.34772027993752547,0.9174619281127557,-0.19327239167504895,1407.5695981322974,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.999920531412873,529811.6328165155
2024-01-01 00:01:55,2784.6191463038163,-3209.7638402906305,5290.7188019969,-0.34879838832848425,0.9174649155546833,-0.19130554886277984,1407.5696000071587,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999169193544236,553893.9797627208
2024-01-01 00:02:00,2815.844088939562,-3187.760376306145,5287.5313247059175,-0.34986536799624046,0.9174679097593255,-0.1893326671198322,1407.5696018819572,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999133073090222,577976.326708926
2024-01-01 00:02:05,2846.979497406441,-3165.6555520953716,5284.175239964443,-0.3509211853688239,0.9174709105420236,-0.18735380959171888,1407.5696037567075,1.0,False,False,0.0,0.0,90.0,1.0,0.0,0.0,250.0,0.0,28.0,0.0,0.9999096952766687,602058.6736551312
